depth_k,direct_evidence_hit_count,direct_evidence_hit_rate,direct_evidence_hit_rate_wilson_95_lower,direct_evidence_hit_rate_wilson_95_upper,useful_evidence_hit_count,useful_evidence_hit_rate,useful_evidence_hit_rate_wilson_95_lower,useful_evidence_hit_rate_wilson_95_upper,direct_evidence_mrr,graded_ndcg,useful_evidence_precision,mean_retrieved_context_tokens,mean_retrieved_context_characters
1,3,0.15,0.05236779195949584,0.36042329588695743,17,0.85,0.6395767041130426,0.9476322080405041,0.15,0.4833333333333333,0.85,69.8,183.55
2,5,0.25,0.11186005278940309,0.4687050099580636,19,0.95,0.7638641064874331,0.9911187805671268,0.2,0.5206017365456976,0.875,138.05,362.05
3,5,0.25,0.11186005278940309,0.4687050099580636,19,0.95,0.7638641064874331,0.9911187805671268,0.2,0.5473623976646226,0.8333333333333334,212.0,543.6
4,6,0.3,0.14547527396899385,0.5189767762289793,19,0.95,0.7638641064874331,0.9911187805671268,0.2125,0.5692817688568826,0.8125,279.0,727.15
5,6,0.3,0.14547527396899385,0.5189767762289793,19,0.95,0.7638641064874331,0.9911187805671268,0.2125,0.5813196981740935,0.79,339.05,908.1
8,10,0.5,0.2992949144298199,0.7007050855701801,19,0.95,0.7638641064874331,0.9911187805671268,0.24166666666666664,0.5994178903833789,0.7125,536.65,1446.95
10,12,0.6,0.3865779423152061,0.7811960325858074,19,0.95,0.7638641064874331,0.9911187805671268,0.25277777777777777,0.6151722829819853,0.7,664.15,1801.85
